CIF_Name,Neigh_Order,sym,is_new_sym,is_new_struc,Energy
Al1Au1_AlAg_sym11_4_0,1_Neigh,11,False,False,-3.895
Al1Au1_GaAu_sym62_0_0,1_Neigh,62,True,False,-3.888
Al1Au1_GaAu_sym2_9_0,1_Neigh,2,True,False,-3.863
Al1Au1_AlAg_sym12_5_0,1_Neigh,12,False,False,-3.862
Al1Au1_AlAg_sym166_0_0,1_Neigh,166,False,False,-3.847
Al1Au1_AlAg_sym187_2_0,1_Neigh,187,False,False,-3.842
Al1Au1_GaAu_sym225_4_0,1_Neigh,225,False,False,-3.839
Al1Au1_GaAg_sym59_3_0,1_Neigh,59,True,True,-3.829
Al1Au1_AlAg_sym51_1_0,1_Neigh,51,False,False,-3.823
Al1Au1_GaAu_sym123_3_0,1_Neigh,123,False,False,-3.806
Al1Au1_GaAu_sym216_5_0,1_Neigh,216,False,False,-3.799
Al1Au1_GaAu_sym221_7_0,1_Neigh,221,False,False,-3.794
Al1Au1_InAu_sym194_5_0,2_Neigh,194,True,True,-3.773
Al1Au1_InCu_sym191_0_0,2_Neigh,191,True,True,-3.77
Al1Au1_MgGa_sym38_7_0,3_Neigh,38,True,True,-3.727
Al1Au1_MgGa_sym88_0_0,3_Neigh,88,True,True,-3.714
Al1Au1_MgGa_sym8_25_0,3_Neigh,8,True,True,-3.711
Al1Au1_MgGa_sym5_4_0,3_Neigh,5,True,True,-3.708
Al1Au1_MgGa_sym57_44_0,3_Neigh,57,True,True,-3.7
Al1Au1_MgGa_sym26_46_0,3_Neigh,26,True,True,-3.69
Al1Au1_MgGa_sym6_39_0,3_Neigh,6,True,True,-3.688
Al1Au1_InAu_sym63_8_0,2_Neigh,63,True,True,-3.669
Al1Au1_MgGa_sym25_48_0,3_Neigh,25,True,True,-3.655
Al1Au1_MgGa_sym156_9_0,3_Neigh,156,True,True,-3.606
Al1Au1_MgGa_sym164_28_0,3_Neigh,164,True,True,-3.551
Al1Au1_MgTl_sym198_10_0,3_Neigh,198,True,True,-3.285
